,Fecha,Día de la Semana,Predicción (MWh),Real (MWh),Error (MWh),Error (%),Festivo,Fin de Semana
0,2025-10-03,Viernes,30919,31583.61,-664.61,-2.1,,
1,2025-10-04,Sábado,30874.91,29206.79,1668.12,5.71,,🏖️
2,2025-10-05,Domingo,26103.24,26047.84,55.4,0.21,,🏖️
3,2025-10-06,Lunes,29856.08,30653.13,-797.05,-2.6,,
4,2025-10-07,Martes,30835.61,31720.54,-884.93,-2.79,,
5,2025-10-08,Miércoles,30524.42,31646.17,-1121.75,-3.54,,
6,2025-10-09,Jueves,30817.68,31625.03,-807.35,-2.55,,
7,2025-10-10,Viernes,30574.81,30672.06,-97.25,-0.32,,
8,2025-10-11,Sábado,30756.74,28567.89,2188.85,7.66,,🏖️
9,2025-10-12,Domingo,26332.42,24500.6,1831.82,7.48,,🏖️
10,2025-10-13,Lunes,27818.13,25516.07,2302.06,9.02,🎉,
11,2025-10-14,Martes,30971.26,30615.6,355.66,1.16,,
12,2025-10-15,Miércoles,30683.4,31446.01,-762.61,-2.43,,
13,2025-10-16,Jueves,30755.64,30897.07,-141.43,-0.46,,
14,2025-10-17,Viernes,30986.95,31251.6,-264.65,-0.85,,
15,2025-10-18,Sábado,30690.54,29556.88,1133.66,3.84,,🏖️
16,2025-10-19,Domingo,26209.37,26304.72,-95.35,-0.36,,🏖️
17,2025-10-20,Lunes,30245.74,30982.98,-737.24,-2.38,,
18,2025-10-21,Martes,30783.59,31540.06,-756.47,-2.4,,
19,2025-10-22,Miércoles,30403.76,31319.92,-916.16,-2.93,,
20,2025-10-23,Jueves,30740.51,31177.6,-437.09,-1.4,,
21,2025-10-24,Viernes,30951.81,31152.72,-200.91,-0.64,,
22,2025-10-25,Sábado,30853.78,29088.26,1765.52,6.07,,🏖️
23,2025-10-26,Domingo,26332.67,26069.21,263.46,1.01,,🏖️
24,2025-10-27,Lunes,29793.7,30070.07,-276.37,-0.92,,
25,2025-10-28,Martes,30756.25,31168.28,-412.03,-1.32,,
26,2025-10-29,Miércoles,30688.01,31775.34,-1087.33,-3.42,,
27,2025-10-30,Jueves,30897.37,31967.55,-1070.18,-3.35,,
28,2025-10-31,Viernes,30900.33,31071.59,-171.26,-0.55,,
29,2025-11-01,Sábado,30687.1,29546.09,1141.01,3.86,,🏖️
