UCP,VARIABLE,FECHA,Clasificador interno,TIPO DIA,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,TOTAL
Antioquia,Demanda_Real,2017-01-01,NORMAL,Domingo,630.0,583.0,553.0,531.0,516.0,490.0,469.0,493.0,536.0,598.0,632.0,659.0,683.0,675.0,663.0,655.0,643.0,683.0,784.0,808.0,773.0,720.0,636.0,572.0,14985.0
Antioquia,Demanda_Real,2017-01-02,NORMAL,Lunes,551.0,518.0,523.0,526.0,549.0,621.0,679.0,773.0,853.0,907.0,969.0,1.011,1.021,1.011,1.007,991.0,970.0,984.0,1.076,1.078,1.02,921.0,817.0,714.0,12873.223999999998
Antioquia,Demanda_Real,2017-01-03,NORMAL,Martes,645.37,612.54,595.44,604.13,646.05,712.37,778.79,860.63,933.4,996.4,1053.71,1094.07,1092.99,1076.25,1077.72,1053.33,1029.87,1043.07,1130.8,1119.42,1055.74,955.1,840.03,749.91,21757.13
Antioquia,Demanda_Real,2017-01-04,NORMAL,Miã©rcoles,658.0,633.0,627.0,635.0,661.0,748.0,808.0,854.0,978.0,1.043,1.091,1.149,1.113,1.099,1.086,1.081,1.084,1.033,1.166,1.148,1.075,1.018,875.0,755.0,8246.186000000002
Antioquia,Demanda_Real,2017-01-05,NORMAL,Jueves,690.0,656.0,652.0,661.0,707.0,778.0,844.0,920.0,970.0,1.025,1.076,1.122,1.134,1.118,1.098,1.087,1.071,1.064,1.146,1.143,1.044,938.0,830.0,666.0,9325.128
Antioquia,Demanda_Real,2017-01-06,NORMAL,Viernes,692.58,640.85,621.69,629.86,679.57,747.22,816.19,897.66,971.95,1036.05,1086.21,1116.05,1110.66,1097.19,1086.46,1060.36,1020.07,1044.38,1127.14,1118.49,1054.48,948.92,845.25,767.85,22217.13
Antioquia,Demanda_Real,2017-01-07,NORMAL,Sã¡bado,687.46,656.04,629.31,639.37,671.58,712.86,755.24,824.09,896.81,959.37,1016.31,1032.1,1035.62,1002.36,963.77,948.92,930.35,968.46,1042.45,1043.13,981.11,882.08,792.34,682.2,20753.330000000005
Antioquia,Demanda_Real,2017-01-08,NORMAL,Domingo,624.07,606.38,600.24,573.06,572.06,590.76,601.77,613.54,708.56,737.14,772.37,802.27,826.75,822.61,771.7,758.06,758.34,803.7,897.41,897.12,833.77,778.77,718.31,707.2,17375.960000000006
Antioquia,Demanda_Real,2017-01-09,NORMAL,Lunes,568.0,561.0,546.0,548.0,561.0,583.0,588.0,629.0,691.0,744.0,788.0,837.0,867.0,847.0,812.0,791.0,783.0,853.0,945.0,943.0,889.0,815.0,730.0,629.0,17548.0
Antioquia,Demanda_Real,2017-01-10,NORMAL,Martes,631.0,580.0,586.0,579.0,612.0,739.0,793.0,882.0,955.0,1.007,1.086,1.122,1.126,1.111,1.104,1.075,1.065,1.087,1.165,1.127,1.039,934.0,841.0,796.0,8941.114000000001
Antioquia,Demanda_Real,2017-01-11,NORMAL,Miã©rcoles,652.12,633.07,618.36,637.19,692.7,768.55,841.23,928.68,948.2,1076.41,1089.73,1166.77,1178.93,1125.04,1147.8,1149.43,1104.01,1121.92,1185.33,1158.43,1099.49,956.99,831.63,696.81,22808.820000000007
Antioquia,Demanda_Real,2017-01-12,NORMAL,Jueves,697.09,634.39,627.74,644.85,705.12,779.61,847.2,901.75,987.44,1071.36,1121.57,1154.32,1152.34,1141.65,1140.32,1128.85,1109.16,1109.64,1180.02,1164.34,1094.45,973.21,873.14,806.72,23046.28
Antioquia,Demanda_Real,2017-01-13,NORMAL,Viernes,666.06,657.5,672.33,690.29,695.79,815.63,874.96,923.2,1053.52,1081.83,1139.15,1180.37,1177.88,1174.29,1143.25,1154.61,1128.68,1103.18,1175.22,1152.12,1112.83,996.3,823.86,752.98,23345.83
Antioquia,Demanda_Real,2017-01-14,NORMAL,Sã¡bado,733.42,650.0,652.93,650.04,693.33,753.79,796.73,880.3,948.54,1004.37,1061.0,1079.37,1071.63,1027.0,999.87,976.86,961.31,949.59,1051.7,1114.7,1007.87,887.96,796.06,730.68,21479.050000000003
Antioquia,Demanda_Real,2017-01-15,NORMAL,Domingo,669.95,606.05,570.62,569.16,586.41,603.65,620.99,677.95,740.01,775.08,785.95,838.96,873.1,864.39,829.46,833.66,806.08,796.27,969.21,973.73,936.03,843.45,763.3,595.26,18128.72
Antioquia,Demanda_Real,2017-01-16,NORMAL,Lunes,632.26,598.23,593.38,613.93,683.74,807.72,879.52,953.38,1000.5,1067.51,1128.03,1156.69,1144.47,1126.2,1131.78,1122.57,1097.99,1107.61,1196.54,1176.78,1080.47,962.94,842.43,823.66,22928.33
Antioquia,Demanda_Real,2017-01-17,NORMAL,Martes,689.0,669.0,654.0,668.0,737.0,844.0,906.0,976.0,1.026,1.091,1.16,1.188,1.152,1.146,1.15,1.142,1.118,1.111,1.194,1.181,1.123,1.009,819.0,729.0,7706.790999999999
Antioquia,Demanda_Real,2017-01-18,NORMAL,Miã©rcoles,674.08,641.91,634.79,657.5,731.61,852.3,944.7,994.73,1025.34,1070.53,1126.53,1152.23,1127.73,1105.69,1105.27,1121.74,1076.54,1048.43,1174.37,1171.33,1086.43,942.4,821.62,629.61,22917.41
Antioquia,Demanda_Real,2017-01-19,NORMAL,Jueves,672.0,662.0,640.0,607.0,734.0,840.0,914.0,978.0,1.04,1.096,1.146,1.176,1.16,1.139,1.135,1.133,1.117,1.149,1.192,1.165,1.077,965.0,841.0,817.0,8684.725
Antioquia,Demanda_Real,2017-01-20,NORMAL,Viernes,657.0,644.0,637.0,657.0,729.0,835.0,876.0,954.0,1.044,1.101,1.162,1.192,1.168,1.156,1.162,1.15,1.123,1.118,1.199,1.157,1.088,983.0,935.0,794.0,8715.82
Antioquia,Demanda_Real,2017-01-21,NORMAL,Sã¡bado,739.59,671.22,651.66,652.83,696.08,747.84,803.81,876.11,939.56,1033.6,1090.44,1111.54,1088.53,1049.72,1018.41,973.88,952.87,959.63,1050.57,1083.78,1018.61,962.49,803.65,679.69,21656.11
Antioquia,Demanda_Real,2017-01-22,NORMAL,Domingo,630.0,603.0,580.0,569.0,574.0,581.0,607.0,651.0,702.0,780.0,828.0,874.0,874.0,849.0,831.0,810.0,797.0,803.0,880.0,982.0,932.0,934.0,758.0,694.0,18123.0
Antioquia,Demanda_Real,2017-01-23,NORMAL,Lunes,642.01,616.57,604.48,624.47,704.04,790.83,882.09,942.32,1072.98,1094.7,1152.28,1182.76,1170.61,1152.49,1151.15,1141.95,1108.4,1113.63,1208.04,1203.84,1118.8,1034.11,863.1,741.4,23317.05
Antioquia,Demanda_Real,2017-01-24,NORMAL,Martes,687.0,662.0,654.0,679.0,751.0,863.0,928.0,994.0,1.04,1.101,1.149,1.177,1.162,1.153,1.146,1.146,1.092,1.098,1.2,1.232,1.122,1.002,865.0,760.0,7858.82
Antioquia,Demanda_Real,2017-01-25,NORMAL,Miã©rcoles,694.0,670.0,662.0,686.0,769.0,881.0,943.0,1.004,1.027,1.104,1.139,1.17,1.166,1.15,1.166,1.17,1.158,1.14,1.214,1.212,1.16,1.003,855.0,802.0,6978.983000000001
Antioquia,Demanda_Real,2017-01-26,NORMAL,Jueves,737.0,671.0,664.0,682.0,753.0,837.0,970.0,991.0,1.066,1.119,1.181,1.217,1.211,1.192,1.193,1.189,1.157,1.14,1.222,1.224,1.147,1.054,941.0,758.0,8020.312
Antioquia,Demanda_Real,2017-01-27,NORMAL,Viernes,722.77,706.67,688.07,696.25,764.92,878.43,944.81,1017.85,1066.51,1111.76,1163.28,1185.21,1178.59,1167.69,1180.05,1185.08,1159.06,1131.76,1199.2,1186.24,1109.29,996.68,886.7,710.23,24037.10000000001
Antioquia,Demanda_Real,2017-01-28,NORMAL,Sã¡bado,758.0,697.0,707.0,690.0,705.0,754.0,852.0,939.0,1.007,1.059,1.103,1.128,1.115,1.081,1.029,1.003,984.0,1.008,1.104,1.091,1.025,922.0,824.0,733.0,9577.753
Antioquia,Demanda_Real,2017-01-29,NORMAL,Domingo,666.02,635.02,602.83,598.83,603.3,622.56,644.58,703.51,776.83,830.08,868.51,903.65,908.4,881.59,864.81,838.51,821.97,859.76,983.78,1003.01,963.31,895.42,806.61,805.55,19088.44
Antioquia,Demanda_Real,2017-01-30,NORMAL,Lunes,670.41,628.75,626.58,642.43,726.73,841.89,917.29,983.43,1029.1,1098.54,1144.64,1175.74,1169.66,1124.83,1122.56,1117.71,1105.85,1080.46,1160.03,1191.09,1123.43,1010.13,847.42,726.45,23265.15
Antioquia,Demanda_Real,2017-01-31,NORMAL,Martes,672.0,656.0,654.0,671.0,751.0,870.0,925.0,1.0,1.044,1.095,1.154,1.179,1.18,1.154,1.152,1.154,1.125,1.119,1.204,1.196,1.125,998.0,863.0,712.0,7787.881000000001
Antioquia,Demanda_Real,2017-02-01,NORMAL,Miã©rcoles,713.72,672.66,661.43,683.49,755.68,878.28,935.71,1003.32,1053.48,1099.76,1145.79,1177.8,1153.01,1150.79,1140.69,1152.66,1125.36,1118.4,1202.06,1203.36,1140.89,1004.7,891.56,787.52,23852.120000000003
Antioquia,Demanda_Real,2017-02-02,NORMAL,Jueves,703.68,674.7,664.23,681.56,780.78,891.53,951.42,1021.12,1072.15,1120.51,1179.29,1196.22,1175.06,1161.49,1166.99,1168.94,1144.84,1141.56,1206.07,1210.9,1134.24,996.62,931.1,754.22,24129.22
Antioquia,Demanda_Real,2017-02-03,NORMAL,Viernes,702.0,670.0,657.0,676.0,763.0,873.0,923.0,1.009,1.034,1.113,1.186,1.201,1.178,1.179,1.179,1.146,1.118,1.11,1.177,1.196,1.107,1.027,928.0,827.0,7035.959999999999
Antioquia,Demanda_Real,2017-02-04,NORMAL,Sã¡bado,720.35,686.65,676.06,670.22,705.9,763.21,825.22,909.93,982.6,1038.37,1082.87,1157.58,1124.29,1083.27,1017.96,1005.91,990.8,947.43,1096.87,1131.83,1053.72,991.77,837.94,743.73,22244.48
Antioquia,Demanda_Real,2017-02-05,NORMAL,Domingo,676.6,643.64,619.88,607.67,632.42,648.12,670.09,699.05,764.76,824.97,855.4,888.46,912.38,894.29,848.91,831.15,821.19,790.51,942.22,1002.87,998.85,892.17,807.29,681.3,18954.19
Antioquia,Demanda_Real,2017-02-06,NORMAL,Lunes,663.0,633.0,625.0,645.0,731.0,849.0,930.0,1.007,1.073,1.132,1.186,1.206,1.194,1.182,1.195,1.192,1.155,1.104,1.187,1.213,1.151,1.029,898.0,789.0,6780.205999999999
Antioquia,Demanda_Real,2017-02-07,NORMAL,Martes,715.5,692.56,680.53,694.56,792.3,912.36,978.48,1041.59,1104.39,1156.97,1206.27,1230.02,1213.05,1205.08,1191.38,1195.73,1169.21,1144.85,1240.84,1248.75,1179.23,1056.94,927.23,846.92,24824.739999999994
