fecha,periodo,p_t,p_h,p_v,p_i
2018-01-01,1,27.0,89.0,14.8,0
2018-01-01,2,27.0,84.0,13.0,0
2018-01-01,3,27.0,84.0,11.1,0
2018-01-01,4,27.0,84.0,11.1,0
2018-01-01,5,27.0,84.0,5.6,0
2018-01-01,6,27.0,89.0,11.1,0
2018-01-01,7,26.0,94.0,9.3,0
2018-01-01,8,28.0,89.0,11.1,0
2018-01-01,9,29.0,84.0,11.1,0
2018-01-01,10,31.0,75.0,8.35,0
2018-01-01,11,32.0,66.0,5.6,0
2018-01-01,12,33.0,66.0,7.4,0
2018-01-01,13,34.0,63.0,9.3,0
2018-01-01,14,35.0,59.0,16.7,0
2018-01-01,15,34.0,63.0,20.4,0
2018-01-01,16,33.0,63.0,18.5,0
2018-01-01,17,30.0,74.0,18.5,0
2018-01-01,18,30.0,74.0,20.4,0
2018-01-01,19,28.0,84.0,11.1,0
2018-01-01,20,28.0,84.0,14.8,0
2018-01-01,21,28.0,84.0,11.1,0
2018-01-01,22,28.0,84.0,18.5,0
2018-01-01,23,27.0,89.0,11.1,0
2018-01-01,24,27.0,89.0,18.5,0
2018-01-02,1,27.0,89.0,14.8,0
2018-01-02,2,27.0,84.0,13.0,0
2018-01-02,3,27.0,84.0,11.1,0
2018-01-02,4,27.0,84.0,11.1,0
2018-01-02,5,27.0,84.0,5.6,0
2018-01-02,6,27.0,89.0,11.1,0
2018-01-02,7,26.0,94.0,9.3,0
2018-01-02,8,28.0,89.0,11.1,0
2018-01-02,9,29.0,84.0,11.1,0
2018-01-02,10,31.0,75.0,8.35,0
2018-01-02,11,32.0,66.0,5.6,0
2018-01-02,12,33.0,66.0,7.4,0
2018-01-02,13,34.0,63.0,9.3,0
2018-01-02,14,35.0,59.0,16.7,0
2018-01-02,15,34.0,63.0,20.4,0
2018-01-02,16,33.0,63.0,18.5,0
2018-01-02,17,30.0,74.0,18.5,0
2018-01-02,18,30.0,74.0,20.4,0
2018-01-02,19,28.0,84.0,11.1,0
2018-01-02,20,28.0,84.0,14.8,0
2018-01-02,21,28.0,84.0,11.1,0
2018-01-02,22,28.0,84.0,18.5,0
2018-01-02,23,27.0,89.0,11.1,0
2018-01-02,24,27.0,89.0,18.5,0
2018-01-03,1,27.0,89.0,14.8,0
2018-01-03,2,27.0,84.0,13.0,0
2018-01-03,3,27.0,84.0,11.1,0
2018-01-03,4,27.0,84.0,11.1,0
2018-01-03,5,27.0,84.0,5.6,0
2018-01-03,6,27.0,89.0,11.1,0
2018-01-03,7,26.0,94.0,9.3,0
2018-01-03,8,28.0,89.0,11.1,0
2018-01-03,9,29.0,84.0,11.1,0
2018-01-03,10,31.0,75.0,8.35,0
2018-01-03,11,32.0,66.0,5.6,0
2018-01-03,12,33.0,66.0,7.4,0
2018-01-03,13,34.0,63.0,9.3,0
2018-01-03,14,35.0,59.0,16.7,0
2018-01-03,15,34.0,63.0,20.4,0
2018-01-03,16,33.0,63.0,18.5,0
2018-01-03,17,30.0,74.0,18.5,0
2018-01-03,18,30.0,74.0,20.4,0
2018-01-03,19,28.0,84.0,11.1,0
2018-01-03,20,28.0,84.0,14.8,0
2018-01-03,21,28.0,84.0,11.1,0
2018-01-03,22,28.0,84.0,18.5,0
2018-01-03,23,27.0,89.0,11.1,0
2018-01-03,24,27.0,89.0,18.5,0
2018-01-04,1,27.0,89.0,14.8,0
2018-01-04,2,27.0,84.0,13.0,0
2018-01-04,3,27.0,84.0,11.1,0
2018-01-04,4,27.0,84.0,11.1,0
2018-01-04,5,27.0,84.0,5.6,0
2018-01-04,6,27.0,89.0,11.1,0
2018-01-04,7,26.0,94.0,9.3,0
2018-01-04,8,28.0,89.0,11.1,0
2018-01-04,9,29.0,84.0,11.1,0
2018-01-04,10,31.0,75.0,8.35,0
2018-01-04,11,32.0,66.0,5.6,0
2018-01-04,12,33.0,66.0,7.4,0
2018-01-04,13,34.0,63.0,9.3,0
2018-01-04,14,35.0,59.0,16.7,0
2018-01-04,15,34.0,63.0,20.4,0
2018-01-04,16,33.0,63.0,18.5,0
2018-01-04,17,30.0,74.0,18.5,0
2018-01-04,18,30.0,74.0,20.4,0
2018-01-04,19,28.0,84.0,11.1,0
2018-01-04,20,28.0,84.0,14.8,0
2018-01-04,21,28.0,84.0,11.1,0
2018-01-04,22,28.0,84.0,18.5,0
2018-01-04,23,27.0,89.0,11.1,0
2018-01-04,24,27.0,89.0,18.5,0
2018-01-05,1,27.0,89.0,14.8,0
2018-01-05,2,27.0,84.0,13.0,0
2018-01-05,3,27.0,84.0,11.1,0
2018-01-05,4,27.0,84.0,11.1,0
2018-01-05,5,27.0,84.0,5.6,0
2018-01-05,6,27.0,89.0,11.1,0
2018-01-05,7,26.0,94.0,9.3,0
2018-01-05,8,28.0,89.0,11.1,0
2018-01-05,9,29.0,84.0,11.1,0
2018-01-05,10,31.0,75.0,8.35,0
2018-01-05,11,32.0,66.0,5.6,0
2018-01-05,12,33.0,66.0,7.4,0
2018-01-05,13,34.0,63.0,9.3,0
2018-01-05,14,35.0,59.0,16.7,0
2018-01-05,15,34.0,63.0,20.4,0
2018-01-05,16,33.0,63.0,18.5,0
2018-01-05,17,30.0,74.0,18.5,0
2018-01-05,18,30.0,74.0,20.4,0
2018-01-05,19,28.0,84.0,11.1,0
2018-01-05,20,28.0,84.0,14.8,0
2018-01-05,21,28.0,84.0,11.1,0
2018-01-05,22,28.0,84.0,18.5,0
2018-01-05,23,27.0,89.0,11.1,0
2018-01-05,24,27.0,89.0,18.5,0
2018-01-06,1,27.0,89.0,14.8,0
2018-01-06,2,27.0,84.0,13.0,0
2018-01-06,3,27.0,84.0,11.1,0
2018-01-06,4,27.0,84.0,11.1,0
2018-01-06,5,27.0,84.0,5.6,0
2018-01-06,6,27.0,89.0,11.1,0
2018-01-06,7,26.0,94.0,9.3,0
2018-01-06,8,28.0,89.0,11.1,0
2018-01-06,9,29.0,84.0,11.1,0
2018-01-06,10,31.0,75.0,8.35,0
2018-01-06,11,32.0,66.0,5.6,0
2018-01-06,12,33.0,66.0,7.4,0
2018-01-06,13,34.0,63.0,9.3,0
2018-01-06,14,35.0,59.0,16.7,0
2018-01-06,15,34.0,63.0,20.4,0
2018-01-06,16,33.0,63.0,18.5,0
2018-01-06,17,30.0,74.0,18.5,0
2018-01-06,18,30.0,74.0,20.4,0
2018-01-06,19,28.0,84.0,11.1,0
2018-01-06,20,28.0,84.0,14.8,0
2018-01-06,21,28.0,84.0,11.1,0
2018-01-06,22,28.0,84.0,18.5,0
2018-01-06,23,27.0,89.0,11.1,0
2018-01-06,24,27.0,89.0,18.5,0
2018-01-07,1,27.0,89.0,14.8,0
2018-01-07,2,27.0,84.0,13.0,0
2018-01-07,3,27.0,84.0,11.1,0
2018-01-07,4,27.0,84.0,11.1,0
2018-01-07,5,27.0,84.0,5.6,0
2018-01-07,6,27.0,89.0,11.1,0
2018-01-07,7,26.0,94.0,9.3,0
2018-01-07,8,28.0,89.0,11.1,0
2018-01-07,9,29.0,84.0,11.1,0
2018-01-07,10,31.0,75.0,8.35,0
2018-01-07,11,32.0,66.0,5.6,0
2018-01-07,12,33.0,66.0,7.4,0
2018-01-07,13,34.0,63.0,9.3,0
2018-01-07,14,35.0,59.0,16.7,0
2018-01-07,15,34.0,63.0,20.4,0
2018-01-07,16,33.0,63.0,18.5,0
2018-01-07,17,30.0,74.0,18.5,0
2018-01-07,18,30.0,74.0,20.4,0
2018-01-07,19,28.0,84.0,11.1,0
2018-01-07,20,28.0,84.0,14.8,0
2018-01-07,21,28.0,84.0,11.1,0
2018-01-07,22,28.0,84.0,18.5,0
2018-01-07,23,27.0,89.0,11.1,0
2018-01-07,24,27.0,89.0,18.5,0
2018-01-08,1,27.0,89.0,14.8,0
2018-01-08,2,27.0,84.0,13.0,0
2018-01-08,3,27.0,84.0,11.1,0
2018-01-08,4,27.0,84.0,11.1,0
2018-01-08,5,27.0,84.0,5.6,0
2018-01-08,6,27.0,89.0,11.1,0
