UCP,VARIABLE,FECHA,Clasificador interno,TIPO DIA,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,TOTAL
Atlantico,Demanda_Real,2018-01-01,NORMAL,Lunes,475.0,479.6,487.7,486.4,480.9,470.6,445.4,438.4,447.0,451.6,457.5,462.0,460.3,456.7,445.8,436.0,425.9,443.1,492.5,506.6,517.2,530.3,532.3,522.0,11350.8
Atlantico,Demanda_Real,2018-01-02,NORMAL,Martes,505.2,491.7,479.8,468.7,464.1,461.3,456.9,478.3,512.6,525.2,535.8,547.1,546.3,553.1,567.5,568.7,557.7,543.9,588.9,592.1,595.3,596.5,588.6,566.5,12791.8
Atlantico,Demanda_Real,2018-01-03,NORMAL,Miércoles,540.0,521.0,505.7,490.0,479.1,478.4,468.9,482.7,520.9,543.5,558.1,567.5,561.4,570.5,580.0,576.1,567.2,557.7,597.7,603.4,610.2,612.1,599.1,574.2,13165.400000000003
Atlantico,Demanda_Real,2018-01-04,NORMAL,Jueves,545.6,527.4,511.8,499.3,497.2,498.5,485.2,500.6,542.2,564.1,571.3,541.8,553.7,571.7,586.8,584.5,573.1,559.1,602.0,610.4,620.4,626.2,614.6,577.0,13364.500000000002
Atlantico,Demanda_Real,2018-01-05,NORMAL,Viernes,546.1,525.3,519.1,504.2,499.1,502.9,493.6,515.4,556.4,575.8,597.2,606.6,599.6,611.8,633.3,631.0,620.8,602.7,630.6,628.2,635.4,635.8,628.7,609.0,13908.6
Atlantico,Demanda_Real,2018-01-06,NORMAL,Sábado,583.3,565.0,548.1,531.2,521.9,509.1,492.1,509.2,542.8,560.4,572.0,578.8,573.8,577.4,579.3,572.1,555.1,547.1,600.4,597.2,596.9,595.3,594.3,583.3,13486.1
Atlantico,Demanda_Real,2018-01-07,NORMAL,Domingo,562.0,542.1,526.8,512.0,500.7,491.1,467.1,465.1,475.8,484.2,492.1,502.5,507.3,512.9,511.3,505.6,492.4,491.3,552.0,561.7,565.6,573.9,577.6,565.9,12439.0
Atlantico,Demanda_Real,2018-01-08,NORMAL,Lunes,544.5,526.3,509.5,495.2,485.7,480.9,465.0,468.3,478.3,492.9,504.1,519.8,527.8,533.9,535.3,534.2,525.9,525.6,584.8,602.0,609.3,625.2,629.0,613.1,12816.6
Atlantico,Demanda_Real,2018-01-09,NORMAL,Martes,588.5,567.2,548.9,531.7,526.8,525.6,518.1,539.4,585.2,604.3,619.3,632.1,623.3,633.1,651.1,651.0,636.5,613.1,642.8,650.4,656.2,661.3,653.7,623.8,14483.4
Atlantico,Demanda_Real,2018-01-10,NORMAL,Miércoles,589.4,563.1,543.1,528.8,523.8,521.7,515.2,530.6,572.3,588.5,606.7,621.2,608.7,628.8,649.6,647.9,634.7,609.7,635.8,641.2,643.6,643.0,639.7,615.9,14303.000000000002
Atlantico,Demanda_Real,2018-01-11,NORMAL,Jueves,589.6,566.9,551.3,541.7,538.1,534.2,527.5,546.7,596.4,623.8,632.5,645.9,632.4,635.6,653.3,654.5,634.2,607.3,642.1,650.5,657.2,663.8,657.3,630.7,14613.5
Atlantico,Demanda_Real,2018-01-12,NORMAL,Viernes,598.9,577.0,562.4,551.9,544.1,542.5,534.5,556.9,605.2,630.4,645.1,660.1,657.3,671.8,684.4,683.7,666.1,637.8,666.8,665.7,672.0,675.6,679.1,653.2,15022.500000000002
Atlantico,Demanda_Real,2018-01-13,NORMAL,Sábado,616.9,602.3,585.2,571.2,564.4,556.2,542.6,545.8,579.8,589.7,604.5,626.1,616.7,614.8,611.8,600.3,584.9,582.1,630.8,631.2,631.0,631.3,628.8,624.2,14372.599999999997
Atlantico,Demanda_Real,2018-01-14,NORMAL,Domingo,603.0,582.7,563.4,547.2,535.8,531.5,509.0,501.4,506.7,512.7,520.0,529.3,533.2,536.0,536.5,530.8,515.1,508.9,562.2,576.4,595.6,609.8,618.7,600.6,13166.5
Atlantico,Demanda_Real,2018-01-15,NORMAL,Lunes,575.4,556.6,536.9,526.2,522.3,524.3,522.8,551.8,605.3,632.4,647.8,657.4,642.5,655.1,673.3,668.6,651.6,624.1,643.3,643.1,652.7,654.7,647.0,628.3,14643.500000000002
Atlantico,Demanda_Real,2018-01-16,NORMAL,Martes,598.8,576.8,557.1,543.8,540.9,540.4,527.5,543.6,593.2,614.3,634.9,646.0,632.5,648.6,674.0,670.6,654.0,626.0,652.9,660.5,673.7,678.6,673.0,645.9,14807.6
Atlantico,Demanda_Real,2018-01-17,NORMAL,Miércoles,612.2,588.7,571.5,557.8,555.2,551.8,541.8,563.2,611.5,633.2,650.7,661.5,650.4,663.9,685.0,672.6,653.3,632.2,656.8,659.2,670.9,681.0,675.4,647.1,15046.9
Atlantico,Demanda_Real,2018-01-18,NORMAL,Jueves,613.4,593.6,575.9,561.3,545.5,541.9,546.4,565.3,613.3,622.2,609.2,613.7,609.6,646.3,669.3,670.2,656.9,631.6,656.9,660.2,671.0,674.5,649.0,635.4,14832.6
Atlantico,Demanda_Real,2018-01-19,NORMAL,Viernes,609.1,589.1,570.6,554.4,543.6,543.6,538.0,561.7,611.0,630.7,649.6,660.2,641.3,652.5,676.9,680.7,663.6,636.6,666.3,667.2,668.1,657.8,658.2,641.5,14972.300000000005
Atlantico,Demanda_Real,2018-01-20,NORMAL,Sábado,617.8,592.7,581.3,565.7,555.8,554.8,540.5,547.9,583.4,604.7,621.6,632.2,617.7,613.5,613.0,606.0,596.1,586.3,636.6,646.8,641.1,636.3,634.3,624.4,14450.499999999996
Atlantico,Demanda_Real,2018-01-21,NORMAL,Domingo,604.7,584.0,566.7,547.9,539.4,532.5,512.1,502.4,507.5,518.9,527.9,533.4,539.3,546.8,544.7,541.1,532.6,526.2,580.7,602.8,613.1,625.8,629.6,611.8,13371.9
Atlantico,Demanda_Real,2018-01-22,NORMAL,Lunes,587.0,563.8,548.5,536.0,528.8,532.9,525.8,552.4,613.0,637.3,657.7,672.1,664.8,680.4,704.2,701.4,681.6,650.2,673.7,672.3,684.6,692.0,681.6,653.2,15095.300000000005
Atlantico,Demanda_Real,2018-01-23,NORMAL,Martes,620.1,596.2,579.8,565.4,557.3,560.1,548.4,572.3,620.8,646.5,667.7,679.0,668.5,686.0,705.4,696.3,676.3,650.0,670.1,674.6,683.1,685.8,676.5,647.9,15334.1
Atlantico,Demanda_Real,2018-01-24,NORMAL,Miércoles,615.5,592.8,574.3,562.5,558.0,561.4,549.1,568.9,619.1,642.1,655.5,663.3,646.2,663.7,686.9,682.0,662.0,635.1,652.7,665.6,670.2,673.8,668.2,639.2,15108.100000000004
Atlantico,Demanda_Real,2018-01-25,NORMAL,Jueves,610.6,588.2,571.1,558.5,549.6,549.5,540.5,566.9,613.4,634.5,653.6,660.4,650.3,670.3,693.1,692.3,670.5,637.5,653.6,663.4,667.0,664.0,654.9,626.8,15040.499999999998
Atlantico,Demanda_Real,2018-01-26,NORMAL,Viernes,600.2,580.1,564.6,550.7,548.5,546.9,537.2,564.9,617.0,642.9,662.0,673.2,659.6,673.5,690.8,684.3,665.5,633.9,656.5,662.4,657.7,652.9,653.0,632.1,15010.399999999998
Atlantico,Demanda_Real,2018-01-27,NORMAL,Sábado,605.6,588.9,569.9,554.5,548.5,546.5,533.7,543.2,576.9,596.2,611.2,622.8,615.1,609.8,607.7,603.1,591.2,578.6,626.7,637.7,629.2,630.8,626.1,602.4,14256.300000000005
Atlantico,Demanda_Real,2018-01-28,NORMAL,Domingo,579.0,561.8,544.2,528.1,523.8,521.8,494.3,491.5,486.4,495.0,499.6,512.5,520.6,529.8,534.1,540.7,536.6,525.0,576.5,598.5,610.7,623.7,620.0,596.9,13051.100000000002
Atlantico,Demanda_Real,2018-01-29,NORMAL,Lunes,571.8,550.9,536.3,523.0,516.1,524.0,516.3,546.8,597.8,624.3,643.9,655.8,641.9,659.3,682.0,681.3,662.3,624.3,644.1,654.2,659.1,668.6,658.0,626.0,14668.1
