Flujo,Fecha,Cod. RPM,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,,,,,,,,,,,,,,,,,,,,,,,
AE,2/10/2025,SJU748,-37.6950,-36.6450,-35.2950,-33.5100,-32.7150,-31.5900,-27.4800,-28.0650,-28.7550,-29.5350,-30.3300,-31.8900,-34.4700,-37.8450,-39.4500,-39.3300,-37.2600,-35.3850,-37.5300,-38.1450,-39.5400,-41.0400,-41.0250,-39.9000,,,,,,,,,,,,,,,,,,,,,,,
AE,3/10/2025,SJU748,-38.3100,-37.0500,-35.8950,-34.8600,-34.0050,-32.6250,-28.7700,-27.3150,-27.2250,-27.4800,-27.9750,-29.7600,-32.5650,-35.5950,-36.2550,-33.8850,-30.7350,-27.5250,-25.8900,-26.2950,-25.9800,-25.7400,-31.8000,-38.7750,,,,,,,,,,,,,,,,,,,,,,,
AE,4/10/2025,SJU748,-37.0350,-35.5500,-34.1250,-33.0900,-32.2950,-31.3050,-28.3050,-26.8350,-26.4150,-26.7300,-27.6900,-29.7450,-32.2800,-35.2200,-37.1550,-37.3050,-36.4200,-36.5550,-40.0050,-39.7200,-37.6950,-35.5650,-34.6050,-34.5000,,,,,,,,,,,,,,,,,,,,,,,
AE,5/10/2025,SJU748,-34.7850,-34.7850,-34.5000,-33.9150,-33.2550,-32.5050,-29.9400,-28.7850,-28.5450,-28.6500,-29.2350,-30.4950,-32.1450,-33.6600,-34.6200,-34.7250,-30.8700,-28.5150,-30.6900,-34.5150,-35.3550,-36.3600,-36.8850,-36.5100,,,,,,,,,,,,,,,,,,,,,,,
AE,2/10/2025,ZMB597,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,
AS,2/10/2025,ZMB597,-19.0762,-18.8539,-18.3366,-16.9326,-15.9550,-15.1791,-13.4907,-12.8242,-13.9827,-14.4066,-14.8739,-15.8319,-16.9555,-18.0650,-18.7213,-18.7276,-18.2934,-17.7312,-18.6411,-19.3027,-19.4409,-18.4750,-18.3031,-19.0199,,,,,,,,,,,,,,,,,,,,,,,
AE,3/10/2025,ZMB597,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,
AS,3/10/2025,ZMB597,-18.7078,-18.6910,-18.4232,-17.9384,-17.6926,-17.2327,-15.5820,-14.9153,-14.9560,-14.6698,-15.0232,-16.0713,-17.2128,-17.9595,-18.4896,-18.4355,-18.0783,-17.4000,-19.0714,-18.9706,-18.9189,-18.5443,-17.6189,-18.6155,,,,,,,,,,,,,,,,,,,,,,,
AE,4/10/2025,ZMB597,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,
AS,4/10/2025,ZMB597,-19.0449,-19.0020,-18.6843,-18.4361,-18.1327,-17.6700,-15.9307,-15.0926,-14.9468,-14.6522,-14.9627,-16.0373,-17.2482,-18.2533,-18.6398,-18.3232,-18.0242,-17.9479,-18.7675,-19.6782,-19.4571,-19.0849,-18.2514,-17.8721,,,,,,,,,,,,,,,,,,,,,,,
AE,5/10/2025,ZMB597,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,
AS,5/10/2025,ZMB597,-18.3539,-18.4516,-18.4239,-18.3707,-18.2666,-17.9762,-16.9303,-16.3549,-16.3125,-16.3012,-16.6926,-17.5113,-18.2108,-18.3303,-17.9848,-18.2295,-17.8929,-17.8791,-18.9201,-19.2544,-19.3755,-18.7663,-18.9052,-18.9052,,,,,,,,,,,,,,,,,,,,,,,
AE,2/10/2025,EPAG1110,0.1997,0.1981,0.1955,0.1959,0.1985,0.1970,5.6209,40.2046,59.5944,64.3776,65.5920,65.6863,64.8748,62.9893,52.2472,24.2633,7.9826,0.4645,0.1990,0.2021,0.1980,0.1994,0.2002,0.1999,,,,,,,,,,,,,,,,,,,,,,,
AE,3/10/2025,EPAG1110,0.1982,0.1975,0.1981,0.1964,0.1955,0.1939,5.3605,39.2345,59.0426,64.2151,66.3023,66.1725,66.1195,62.8519,48.2374,37.0679,12.8665,2.0859,0.1993,0.1998,0.2008,0.1996,0.1982,0.2000,,,,,,,,,,,,,,,,,,,,,,,
AE,4/10/2025,EPAG1110,0.2017,0.2004,0.1991,0.1973,0.1983,0.1978,5.5761,41.2853,60.7854,64.5561,65.8856,66.4202,66.5919,64.9408,61.5030,51.4233,16.4032,0.8055,0.2011,0.2018,0.2008,0.2006,0.2000,0.1981,,,,,,,,,,,,,,,,,,,,,,,
AE,5/10/2025,EPAG1110,0.1972,0.1939,0.1941,0.1948,0.1949,0.1932,5.6085,39.1403,59.6390,64.0549,63.8093,64.8760,66.2816,65.2690,61.6887,55.1088,20.7684,1.2438,0.1979,0.1985,0.1975,0.1992,0.1994,0.1994,,,,,,,,,,,,,,,,,,,,,,,
AE,2/10/2025,PROG1660,0.0000,0.0000,0.0000,0.0000,2.6133,9.9275,17.4802,28.0658,34.6409,43.3183,43.1558,43.2880,42.7944,42.6767,42.8358,43.1784,43.2289,43.3185,43.3620,43.3420,43.3224,31.8255,9.6878,0.4013,,,,,,,,,,,,,,,,,,,,,,,
AE,3/10/2025,PROG1660,0.0018,0.0000,0.0000,0.0000,2.6539,9.8757,17.1517,28.2481,35.0345,43.5096,43.3687,42.9849,42.7168,42.7972,42.6841,42.9953,43.2854,43.4020,43.4425,43.4989,43.2449,43.1584,43.3119,43.4016,,,,,,,,,,,,,,,,,,,,,,,
AE,4/10/2025,PROG1660,31.4177,9.7368,0.3690,0.0096,0.0000,2.8378,9.8564,17.3100,28.2945,34.5988,43.0491,43.1613,43.0843,42.8949,42.8750,43.1025,43.2605,43.3590,43.3341,43.0936,43.1146,32.8970,10.0235,0.3972,,,,,,,,,,,,,,,,,,,,,,,
AE,5/10/2025,PROG1660,0.0527,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0006,0.0006,,,,,,,,,,,,,,,,,,,,,,,
AE,2/10/2025,PROG2660,0.0000,0.0000,0.0086,0.4595,0.4720,0.4735,0.5362,1.3134,1.3184,1.3242,1.3349,1.3333,1.3773,1.5621,1.4802,1.4841,1.4909,1.4804,1.4822,1.4463,1.4438,1.3830,0.3543,0.3118,,,,,,,,,,,,,,,,,,,,,,,
AE,3/10/2025,PROG2660,0.2771,0.2495,0.2527,0.2486,0.4537,0.4676,0.4557,1.0156,1.3300,1.3344,1.3346,1.3291,1.3537,1.4065,1.5081,1.4771,1.4217,1.4116,1.4096,1.4023,1.3801,1.4144,1.4352,1.4558,,,,,,,,,,,,,,,,,,,,,,,
AE,4/10/2025,PROG2660,1.2529,0.0672,0.0230,0.0130,0.2925,0.4774,0.4758,0.5432,1.2035,1.2841,1.3779,1.4214,1.4710,1.4364,1.4406,1.4274,1.4201,1.3927,1.3807,1.3822,1.4212,1.4162,0.0841,0.0000,,,,,,,,,,,,,,,,,,,,,,,
